agency_id,agency_name,agency_url,agency_timezone,agency_lang,agency_phone,agency_fare_url,agency_email
57,BELEDİYE,http://www.kocaeli.bel.tr,Europe/Istanbul,tr,,,
56,BELEDİYE,http://www.kocaeli.bel.tr,Europe/Istanbul,tr,,,
1,BELEDİYE,http://www.kocaeli.bel.tr,Europe/Istanbul,tr,,,
6,115 NOLU,http://www.kocaeli.bel.tr,Europe/Istanbul,tr,,,
8,108 NOLU,http://www.kocaeli.bel.tr,Europe/Istanbul,tr,,,
14,132 NOLU,http://www.kocaeli.bel.tr,Europe/Istanbul,tr,,,
17,120 NOLU,http://www.kocaeli.bel.tr,Europe/Istanbul,tr,,,
19,KARTEPE KÖY HATTI,http://www.kocaeli.bel.tr,Europe/Istanbul,tr,,,
20,119 NOLU,http://www.kocaeli.bel.tr,Europe/Istanbul,tr,,,
21,İZMİT KÖY HATTI,http://www.kocaeli.bel.tr,Europe/Istanbul,tr,,,
24,145 NOLU,http://www.kocaeli.bel.tr,Europe/Istanbul,tr,,,
27,198 NOLU,http://www.kocaeli.bel.tr,Europe/Istanbul,tr,,,
28,173 NOLU,http://www.kocaeli.bel.tr,Europe/Istanbul,tr,,,
29,S.S.ÖZ DARICA MİN VE ÖHO KOOP,http://www.kocaeli.bel.tr,Europe/Istanbul,tr,,,
36,GÖLCÜK KÖY HATTI,http://www.kocaeli.bel.tr,Europe/Istanbul,tr,,,
40,İHSANİYE-İZMİT İHALELİ,http://www.kocaeli.bel.tr,Europe/Istanbul,tr,,,
45,KARAMÜRSEL KÖY HATTI,http://www.kocaeli.bel.tr,Europe/Istanbul,tr,,,
47,27 NOLU,http://www.kocaeli.bel.tr,Europe/Istanbul,tr,,,
48,127 NOLU,http://www.kocaeli.bel.tr,Europe/Istanbul,tr,,,
49,49 NOLU,http://www.kocaeli.bel.tr,Europe/Istanbul,tr,,,
50,KANDIRA KÖY HATTI,http://www.kocaeli.bel.tr,Europe/Istanbul,tr,,,
51,147 NOLU,http://www.kocaeli.bel.tr,Europe/Istanbul,tr,,,
52,112 NOLU,http://www.kocaeli.bel.tr,Europe/Istanbul,tr,,,
53,153 NOLU,http://www.kocaeli.bel.tr,Europe/Istanbul,tr,,,
54,140 NOLU,http://www.kocaeli.bel.tr,Europe/Istanbul,tr,,,
55,111 NOLU,http://www.kocaeli.bel.tr,Europe/Istanbul,tr,,,
3,5 NOLU ŞEHİRİÇİ,http://www.kocaeli.bel.tr,Europe/Istanbul,tr,,,
4,55 NOLU ALİKAHYA,http://www.kocaeli.bel.tr,Europe/Istanbul,tr,,,
5,6 NOLU DOLMUŞ TAKSİ,http://www.kocaeli.bel.tr,Europe/Istanbul,tr,,,
7,10 NOLU KÖRFEZ,http://www.kocaeli.bel.tr,Europe/Istanbul,tr,,,
46,2 NOLU KARAMÜRSEL,http://www.kocaeli.bel.tr,Europe/Istanbul,tr,,,
32,14 NOLU YUVACIK,http://www.kocaeli.bel.tr,Europe/Istanbul,tr,,,
33,93 NOLU BAHÇECİK,http://www.kocaeli.bel.tr,Europe/Istanbul,tr,,,
34,54 NOLU KARŞIYAKA,http://www.kocaeli.bel.tr,Europe/Istanbul,tr,,,
35,70 NOLU YENİKÖY,http://www.kocaeli.bel.tr,Europe/Istanbul,tr,,,
31,71 NOLU KULLAR,http://www.kocaeli.bel.tr,Europe/Istanbul,tr,,,
30,164 NOLU ÇAYIROVA,http://www.kocaeli.bel.tr,Europe/Istanbul,tr,,,
22,195 NOLU DİLOVASI,http://www.kocaeli.bel.tr,Europe/Istanbul,tr,,,
26,167 NOLU GEBZE KOOP.,http://www.kocaeli.bel.tr,Europe/Istanbul,tr,,,
44,39 NOLU DEĞİRMENDERE,http://www.kocaeli.bel.tr,Europe/Istanbul,tr,,,
41,41 NOLU GÖLCÜK,http://www.kocaeli.bel.tr,Europe/Istanbul,tr,,,
39,46 NOLU İHSANİYE,http://www.kocaeli.bel.tr,Europe/Istanbul,tr,,,
37,65 NOLU YAZLIK,http://www.kocaeli.bel.tr,Europe/Istanbul,tr,,,
25,141 NOLU GEBZE,http://www.kocaeli.bel.tr,Europe/Istanbul,tr,,,
42,"20,52 NOLU GÖLCÜK ŞEHİRİÇİ",http://www.kocaeli.bel.tr,Europe/Istanbul,tr,,,
43,128 NOLU GÖLCÜK ŞEHİRİÇİ,http://www.kocaeli.bel.tr,Europe/Istanbul,tr,,,
38,142 NOLU HİSAREYN,http://www.kocaeli.bel.tr,Europe/Istanbul,tr,,,
16,125 NOLU ESEM KOOP.,http://www.kocaeli.bel.tr,Europe/Istanbul,tr,,,
13,"60,117 NOLU AKMEŞE&ÜÇKÖYLER",http://www.kocaeli.bel.tr,Europe/Istanbul,tr,,,
11,"47,58,129 NOLU DERBENT&MAŞUKİYE",http://www.kocaeli.bel.tr,Europe/Istanbul,tr,,,
12,"66 , 80 ,107 NOLU KÖSEKÖY",http://www.kocaeli.bel.tr,Europe/Istanbul,tr,,,
15,68 NOLU SUADİYE,http://www.kocaeli.bel.tr,Europe/Istanbul,tr,,,
18,"84,133 NOLU EŞME&UZUNTARLA",http://www.kocaeli.bel.tr,Europe/Istanbul,tr,,,
10,98 NOLU ARSLANBEY,http://www.kocaeli.bel.tr,Europe/Istanbul,tr,,,
9,"19,22 NOLU HEREKE",http://www.kocaeli.bel.tr,Europe/Istanbul,tr,,,
2,ULAŞIMPARK A.Ş.,https://www.ulasimpark.com.tr,Europe/Istanbul,tr,02623252305,https://www.ulasimpark.com.tr,
