route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
377,57,V2,KARAMÜRSEL-HEREKE,,4,,,
378,57,V3,İZMİT-DEĞİRMENDERE,,4,,,
376,57,V1,İZMİT-KARAMÜRSEL,,4,,,
373,56,T1,OTOGAR-EĞİTİM KAMPÜSÜ,,0,,,
145,19,286,KETENCİLER-İZMİT,,3,,,
393,24,428,TEPEMANAYIR/ELBİZLİ-KARGALI,,3,,,
416,29,511,İSTASYON-DARICA-OSMANGAZİ-EMEK,,3,,,
25,4,28,YUVAM AKARCA-İZMİT,,3,,,
417,29,512,İSTASYON - FARABİ E.A.H. - DARICA - OSMANGAZİ,,3,,,
71,3,121,SOPALI-YAHYA KAPTAN,,3,,,
254,2,650,HAVUZLUBAHÇE-YENİKÖY-İZMİT-UMUTTEPE,,3,,,
267,2,680,İHSANİYE-SEYMEN-İZMİT(YENİ YOL),,3,,,
205,29,502,KENTÖNÜ-DARICA-FARABİ DH-GEBZE,,3,,,
419,3,71T,B.TERMİNALİ-M.ALİ PAŞA-BEKİRDERE-TAVŞANTEPE CAD.,,3,,,
23,4,26,ALİKAHYA-İZMİT,,3,,,
426,22,307,DİLİSKELESİ-BELEDİYE-KAYMAKAMLIK-HASTANE,,3,,,
397,49,819,KANDIRA-KEFKEN,,3,,,
45,3,72,ÖZBEK ÇEŞMESİ-CUMHURİYET PARKI-PLAJYOLU-ÇINARLI EML,,3,,,
82,3,143,60 EVLER-UMUTTEPE,,3,,,
429,3,32,BAYINDIRLIK-BOĞAZOVA CAD.-TREN GARI,,3,,,
27,3,33,SEKA PARK-UMUTTEPE,,3,,,
271,39,684,DENİZEVLER-GÖLCÜK,,3,,,
428,46,751,KARAMÜRSEL-İZMİT(ESKİ YOL),,3,,,
240,32,624,YUVACIK-DİŞ HASTANESİ-İZMİT,,3,,,
432,25,999HR,GEBZE - HAREM,,3,,,
421,2,150KS,KÖRFEZ-KOCAELİ STADYUMU,,3,,,
248,2,640,DÖNGEL-ALTINKENT-İZMİT-UMUTTEPE (ESKİ YOL),,3,,,
26,4,29,ASIM K.O.S.B.-KAVANİUM-ALİKAHYA-OTOGAR,,3,,,
